1;Automobiles Peugeot
2;Benelli Q.J. srl.
3;Bimota S.A.
4;BMW AG
5;Buell Motorcycle Company
6;China Chongqing Shineray Motorcycle Co.,Ltd
7;China JiaLing Motorcycles Industrial Co., Ltd
8;Chongqing Zongshen Automobile Industry Co., Ltd
9;Dachangjiang Group Co., Ltd
10;Dafra Motos
11;Ducati Motor Holding S.p.A
12;Govecs GmbH
13;Guangzhou Dayun Motorcycle Co.,Ltd
14;Harley-Davidson, Inc
15;Honda Motor Co., Ltd
16;Horex Motorcycles GmbH
17;Husaberg Motor AB
18;Husqvarna Motorcycles GmbH
19;Hyosung Group
20;Indian Motorcycle International, LLC
21;Kasinski Motos
22;Kawasaki Heavy Industries, Ltd
23;KTM Sportmotorcycle GmbH
24;Kwang Yang Motor Co, Ltd
25;Lifan Industry (Group) Co., Ltd
26;Loncin Motorcycle Industry Co. Ltd
27;Luoyang Northern Ek Chor Motorcycle Co., Ltd
28;Malaguti, S.p.A
29;Moto Morini s.r.l
30;Moto Traxx da Amazonia Ltda
31;MV Agusta Motor S.p.A.
32;Piaggio & C. S.p.A.
33;Polaris Industries, Inc
34;PT. Minerva Motor Indonesia
35;Sanyang Motor Co., Ltd
36;Sundiro Honda Motorcycle Co., Ltd
37;Suzuki Motor Corporation
38;Torrot Electric Europe, SL
39;Triumph Motorcycles Limited
40;TVS Motor Company Ltd
41;Wuyang-Honda Motors (Guangzhou) Co., Ltd
42;Yamaha Motor Co., Ltd
43;Zhejiang Qianjiang Motorcycle Co., Ltd
44;Zhuzhou Jianshe Yamaha Motor Co., Ltd
45;Zongshen Piaggio Foshan Motorcycle Co., Ltd
